deg,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
IQT0011_0031_I_P__20250304__Recuerdo_agradable__aXHs.wav,1.0703287,2.9718113,2.024335,2.0098116,2.2969096,NISQAv2
TUM0007_0208_A__20250522__Rutina__yWsT.wav,2.318222,3.4008195,2.6132236,2.4941962,3.4022963,NISQAv2
TUM0008_0298_A__20250604__Recuerdo_agradable__Orr2.wav,1.0656688,3.088647,1.8938916,1.9731896,1.7474022,NISQAv2
LIM0006_0128_A__20250403__Lámina_1__q9er.wav,1.7927647,2.899288,3.899127,2.8218834,1.7038614,NISQAv2
LIM0006_0042_P__20241220__Rutina__1Hbi.wav,1.7589196,3.2371783,1.9310665,2.3933983,3.2558033,NISQAv2
LIM0006_0144_A__20250515__Rutina__I7Ld.wav,1.6940897,3.3132222,2.391379,2.2866616,3.2946508,NISQAv2
HUA0005_0128A__20250503__Rutina__EIxB.wav,2.181438,3.7029288,2.2706249,2.53613,3.047477,NISQAv2
HUA0005_0128A__20250503__Recuerdo_agradable__jpzt.wav,2.971234,3.8221614,2.9155774,2.9485648,3.1853387,NISQAv2
IQT0011_0116_A__20250327__Lámina_1__4sNh.wav,1.4504555,2.8069355,2.147962,2.0703273,2.8089204,NISQAv2
LIM0002_0091_A__20250307__Recuerdo_agradable__FNnJ.wav,2.1739476,3.3182666,2.315201,2.4601083,3.0633144,NISQAv2
LIM0007_0059_A__20250126__Rutina__SiJ6.wav,2.0823553,3.5663722,2.3303797,2.7272985,3.3933454,NISQAv2
LIM0007_0034_A__20250117__Re-narración_de_video__pPhr.wav,3.3717432,3.3177764,4.2280893,3.431649,3.6421487,NISQAv2
LIM0007_0075_A__20250314__Recuerdo_agradable__VQPf.wav,2.414267,3.7725642,2.7213542,2.723819,3.4193432,NISQAv2
LIM0005_0035_A__20241030__Re-narración_de_video__rwmL.wav,1.6163106,3.2721055,2.1543276,2.1300426,2.1724706,NISQAv2
TUM0002_0137_A__20250307__Recuerdo_agradable__uPY4.wav,1.7164646,3.1647723,2.482334,2.1814013,2.0793083,NISQAv2
TUM0004_0258P__20250428__Recuerdo_agradable__Aami.wav,2.1431913,2.994157,3.9001305,2.5786114,2.732278,NISQAv2
LIM0004_0188_P__20250612__Rutina__FkkP.wav,1.3332789,3.2862246,2.0680826,1.9774401,2.1258285,NISQAv2
LIM0009_0015_P__20241016__Recuerdo_agradable__UE82.wav,1.8215042,3.42115,2.2970045,2.3213203,2.5987601,NISQAv2
